0.19051	0.09936	0.22143	0.10243	0.14138	0.07671	0.08451	0.09265	0.20659	0.30302	0.18259	1	0.28199	0.26979	0.1706	0.37506	0.14902	0.09487	0.13669	0.09106	0.23279	0.15214	0.11332	0.12984	0.12294	0.19045	0.12294
0.11248	0.06911	0.13489	0.06842	0.09241	0.1561	0.17347	0.06565	0.22906	0.24836	0.12778	0.28199	1	0.15522	0.67051	0.33299	0.09348	0.0608	0.094	0.06899	0.14967	0.09716	0.07935	0.25929	0.08131	0.19869	0.23941
0.68974	0.06176	0.16343	0.06641	0.4367	0.0479	0.05236	0.15516	0.07668	0.09692	0.18898	0.26979	0.15522	1	0.1196	0.22941	0.10453	0.06417	0.22946	0.13716	0.09265	0.28655	0.07	0.08304	0.08078	0.097	0.08078
0.08733	0.09535	0.20598	0.09778	0.06623	0.21744	0.23942	0.0447	0.32039	0.20481	0.0516	0.1706	0.67051	0.1196	1	0.13265	0.14017	0.09024	0.06381	0.0433	0.0608	0.07093	0.10863	0.36426	0.11685	0.06946	0.34406
0.15932	0.07678	0.17498	0.07687	0.12043	0.0566	0.06385	0.07909	0.09622	0.17128	0.16282	0.37506	0.33299	0.22941	0.13265	1	0.41296	0.24704	0.11877	0.08037	0.16979	0.12907	0.08967	0.10222	0.09423	0.22907	0.09423
0.07472	0.08319	0.18175	0.08407	0.05719	0.06299	0.07016	0.03841	0.10273	0.06474	0.04419	0.14902	0.09348	0.10453	0.14017	0.41296	1	0.63704	0.056	0.03831	0.05201	0.06112	0.09591	0.10894	0.10152	0.06009	0.10152
0.04372	0.05495	0.11806	0.05272	0.03534	0.03904	0.04504	0.024	0.06944	0.044	0.02703	0.09487	0.0608	0.06417	0.09024	0.24704	0.63704	1	0.03671	0.02648	0.03291	0.0373	0.06543	0.07303	0.06525	0.03925	0.06525
0.16972	0.03937	0.08085	0.04001	0.1331	0.03066	0.03372	0.09239	0.04776	0.06631	0.36222	0.13669	0.094	0.22946	0.06381	0.11877	0.056	0.03671	1	0.09102	0.06354	0.14147	0.04477	0.05047	0.04748	0.06546	0.04748
0.10463	0.02972	0.05272	0.02937	0.16897	0.02356	0.02584	0.19652	0.03526	0.05281	0.07398	0.09106	0.06899	0.13716	0.0433	0.08037	0.03831	0.02648	0.09102	1	0.0508	0.09316	0.0336	0.03672	0.03412	0.05181	0.03412
0.06832	0.04197	0.0756	0.03951	0.06017	0.03116	0.03539	0.04573	0.0867	0.14352	0.0914	0.23279	0.14967	0.09265	0.0608	0.16979	0.05201	0.03291	0.06354	0.0508	1	0.06221	0.0491	0.05296	0.04721	0.11674	0.04721
0.20115	0.04024	0.09377	0.04111	0.14716	0.03026	0.03375	0.09537	0.05013	0.06527	0.11146	0.15214	0.09716	0.28655	0.07093	0.12907	0.06112	0.0373	0.14147	0.09316	0.06221	1	0.0465	0.05348	0.05009	0.06428	0.05009
0.05303	0.18188	0.13354	0.27398	0.04443	0.05727	0.06285	0.03279	0.08661	0.05944	0.03635	0.11332	0.07935	0.07	0.10863	0.08967	0.09591	0.06543	0.04477	0.0336	0.0491	0.0465	1	0.26154	0.08439	0.13815	0.08439
0.0623	0.07979	0.15407	0.08018	0.05076	0.18431	0.20247	0.03647	0.26382	0.17793	0.04093	0.12984	0.25929	0.08304	0.36426	0.10222	0.10894	0.07303	0.05047	0.03672	0.05296	0.05348	0.26154	1	0.09432	0.0601	0.27771
0.05887	0.21615	0.1481	0.12391	0.04742	0.05609	0.06237	0.03329	0.08962	0.05866	0.03755	0.12294	0.08131	0.08078	0.11685	0.09423	0.10152	0.06525	0.04748	0.03412	0.04721	0.05009	0.08439	0.09432	1	0.15984	0.08733
0.07099	0.41432	0.08573	0.1555	0.06206	0.03646	0.0409	0.04667	0.05797	0.11699	0.0903	0.19045	0.19869	0.097	0.06946	0.22907	0.06009	0.03925	0.06546	0.05181	0.11674	0.06428	0.13815	0.0601	0.15984	1	0.05428
0.05887	0.07341	0.1481	0.07313	0.04742	0.35015	0.38939	0.03329	0.5073	0.33545	0.03755	0.12294	0.23941	0.08078	0.34406	0.09423	0.10152	0.06525	0.04748	0.03412	0.04721	0.05009	0.08439	0.27771	0.08733	0.05428	1
