"disease_id","pathway_id","evidence","weight"
"14","972","context_pathway_projection","0.542649507522583"
"14","1090","context_pathway_projection","0.5399019122123718"
"14","1092","context_pathway_projection","0.4629693329334259"
"15","5","disease_pathway_prior","0.75"
"15","80","disease_pathway_prior","0.75"
"15","199","context_pathway_projection","0.4992395341396332"
"15","284","context_pathway_projection","0.489050954580307"
"15","285","context_pathway_projection","0.4992395341396332"
"15","286","context_pathway_projection","0.4992395341396332"
"15","484","context_pathway_projection","0.4740746021270752"
"15","625","context_pathway_projection","0.509428083896637"
"15","967","context_pathway_projection","0.48224830627441406"
"15","969","context_pathway_projection","0.49042201042175293"
"15","1011","context_pathway_projection","0.4740746021270752"
"15","1013","context_pathway_projection","0.4740746021270752"
"16","5","disease_pathway_prior","0.75"
"16","80","disease_pathway_prior","0.75"
"16","199","context_pathway_projection","0.4921387732028961"
"16","284","context_pathway_projection","0.4820951223373413"
"16","285","context_pathway_projection","0.4921387732028961"
"16","286","context_pathway_projection","0.4921387732028961"
"16","484","context_pathway_projection","0.46776264905929565"
"16","625","context_pathway_projection","0.5021824240684509"
"16","967","context_pathway_projection","0.47582754492759705"
"16","968","context_pathway_projection","0.46776264905929565"
"16","969","context_pathway_projection","0.48389241099357605"
"16","1011","context_pathway_projection","0.46776264905929565"
"17","5","disease_pathway_prior","0.75"
"17","80","disease_pathway_prior","0.75"
"17","199","context_pathway_projection","0.5136967897415161"
"17","284","context_pathway_projection","0.5032131671905518"
"17","285","context_pathway_projection","0.5136967897415161"
"17","286","context_pathway_projection","0.5136967897415161"
"17","625","context_pathway_projection","0.5241804122924805"
"17","967","context_pathway_projection","0.49069496989250183"
"17","968","context_pathway_projection","0.4823780655860901"
"17","969","context_pathway_projection","0.4990118145942688"
"17","1011","context_pathway_projection","0.4823780655860901"
"17","1013","context_pathway_projection","0.4823780655860901"
"18","44","context_pathway_projection","0.4045831263065338"
"18","159","context_pathway_projection","0.41889315843582153"
"18","231","context_pathway_projection","0.342789888381958"
"18","420","context_pathway_projection","0.4618231952190399"
"18","433","context_pathway_projection","0.3707594871520996"
"18","454","context_pathway_projection","0.3505953550338745"
"18","484","context_pathway_projection","0.33553770184516907"
"18","930","context_pathway_projection","0.398078590631485"
"18","967","context_pathway_projection","0.3413228392601013"
"18","969","context_pathway_projection","0.34710797667503357"
"18","1008","context_pathway_projection","0.342789888381958"
"18","1011","context_pathway_projection","0.33553770184516907"
"19","44","context_pathway_projection","0.6496615409851074"
"19","159","context_pathway_projection","0.6726399064064026"
"19","231","context_pathway_projection","0.5504367351531982"
"19","420","context_pathway_projection","0.7415750622749329"
"19","433","context_pathway_projection","0.5953490138053894"
"19","454","context_pathway_projection","0.5629703402519226"
"19","930","context_pathway_projection","0.6392168402671814"
"19","967","context_pathway_projection","0.004684538580477238"
"19","969","context_pathway_projection","0.004763937555253506"
"19","1008","context_pathway_projection","0.5504367351531982"
"19","1011","context_pathway_projection","0.00460513960570097"
"19","1013","context_pathway_projection","0.00460513960570097"
"20","199","context_pathway_projection","0.5023451447486877"
"20","284","context_pathway_projection","0.49209317564964294"
"20","285","context_pathway_projection","0.5023451447486877"
"20","286","context_pathway_projection","0.5023451447486877"
"20","484","context_pathway_projection","0.47114819288253784"
"20","625","context_pathway_projection","0.5125970840454102"
"20","653","context_pathway_projection","0.4715893268585205"
"20","967","context_pathway_projection","0.47927144169807434"
"20","968","context_pathway_projection","0.47114819288253784"
"20","969","context_pathway_projection","0.48739469051361084"
"20","1011","context_pathway_projection","0.47114819288253784"
"20","1013","context_pathway_projection","0.47114819288253784"
"21","289","context_pathway_projection","0.31885331869125366"
"21","437","context_pathway_projection","0.3008897602558136"
"21","484","context_pathway_projection","0.40207865834236145"
"21","967","context_pathway_projection","0.4090110659599304"
"21","968","context_pathway_projection","0.40207865834236145"
"21","969","context_pathway_projection","0.415943443775177"
"21","970","context_pathway_projection","0.37954840064048767"
"21","972","context_pathway_projection","0.26512375473976135"
"21","1011","context_pathway_projection","0.40207865834236145"
"21","1012","context_pathway_projection","0.376082181930542"
"21","1013","context_pathway_projection","0.40207865834236145"
"21","1090","context_pathway_projection","0.2637813687324524"
"22","289","context_pathway_projection","0.38355210423469543"
"22","437","context_pathway_projection","0.3619435429573059"
"22","476","context_pathway_projection","0.31008297204971313"
"22","484","context_pathway_projection","0.42329153418540955"
"22","601","context_pathway_projection","0.30360040068626404"
"22","967","context_pathway_projection","0.4305897057056427"
"22","968","context_pathway_projection","0.42329153418540955"
"22","969","context_pathway_projection","0.4378878176212311"
"22","970","context_pathway_projection","0.3995726406574249"
"22","1011","context_pathway_projection","0.42329153418540955"
"22","1012","context_pathway_projection","0.39592355489730835"
"22","1013","context_pathway_projection","0.42329153418540955"
"23","199","context_pathway_projection","0.7756706476211548"
"23","284","context_pathway_projection","0.7598406076431274"
"23","285","context_pathway_projection","0.7756706476211548"
"23","286","context_pathway_projection","0.7756706476211548"
"23","289","context_pathway_projection","0.7915006279945374"
"23","484","context_pathway_projection","0.7651172280311584"
"23","625","context_pathway_projection","0.7915006279945374"
"23","967","context_pathway_projection","0.7783089876174927"
"23","968","context_pathway_projection","0.7651172280311584"
"23","969","context_pathway_projection","0.7915006279945374"
"23","1011","context_pathway_projection","0.7651172280311584"
"23","1013","context_pathway_projection","0.7651172280311584"
"24","285","context_pathway_projection","0.30179518461227417"
"24","289","context_pathway_projection","0.36702245473861694"
"24","437","context_pathway_projection","0.34634512662887573"
"24","484","context_pathway_projection","0.4076174795627594"
"24","625","context_pathway_projection","0.30795425176620483"
"24","967","context_pathway_projection","0.41464537382125854"
"24","968","context_pathway_projection","0.4076174795627594"
"24","969","context_pathway_projection","0.4216732680797577"
"24","970","context_pathway_projection","0.38477686047554016"
"24","1011","context_pathway_projection","0.4076174795627594"
"24","1012","context_pathway_projection","0.3812628984451294"
"24","1013","context_pathway_projection","0.4076174795627594"
"25","111","context_pathway_projection","0.5228236317634583"
"25","199","context_pathway_projection","0.4178790748119354"
"25","284","context_pathway_projection","0.4093509316444397"
"25","285","context_pathway_projection","0.4178790748119354"
"25","286","context_pathway_projection","0.4178790748119354"
"25","409","context_pathway_projection","0.39511099457740784"
"25","625","context_pathway_projection","0.42640721797943115"
"25","653","context_pathway_projection","0.39229464530944824"
"25","831","context_pathway_projection","0.42437848448753357"
"25","972","context_pathway_projection","0.5254843235015869"
"25","1090","context_pathway_projection","0.5228236317634583"
"25","1092","context_pathway_projection","0.448324590921402"
"26","285","context_pathway_projection","0.4194124639034271"
"26","289","context_pathway_projection","0.478426069021225"
"26","437","context_pathway_projection","0.4514724910259247"
"26","484","context_pathway_projection","0.5230715274810791"
"26","625","context_pathway_projection","0.42797189950942993"
"26","967","context_pathway_projection","0.5320900082588196"
"26","968","context_pathway_projection","0.5230715274810791"
"26","969","context_pathway_projection","0.5411084890365601"
"26","970","context_pathway_projection","0.49376150965690613"
"26","1011","context_pathway_projection","0.5230715274810791"
"26","1012","context_pathway_projection","0.4892522394657135"
"26","1013","context_pathway_projection","0.5230715274810791"
"27","285","context_pathway_projection","0.34714198112487793"
"27","289","context_pathway_projection","0.39996546506881714"
"27","437","context_pathway_projection","0.3774321973323822"
"27","484","context_pathway_projection","0.435932457447052"
"27","625","context_pathway_projection","0.3542264997959137"
"27","967","context_pathway_projection","0.44344857335090637"
"27","968","context_pathway_projection","0.435932457447052"
"27","969","context_pathway_projection","0.45096462965011597"
"27","970","context_pathway_projection","0.41150522232055664"
"27","1011","context_pathway_projection","0.435932457447052"
"27","1012","context_pathway_projection","0.40774717926979065"
"27","1013","context_pathway_projection","0.435932457447052"
"28","199","context_pathway_projection","0.5069916844367981"
"28","284","context_pathway_projection","0.49664491415023804"
"28","285","context_pathway_projection","0.5069916844367981"
"28","286","context_pathway_projection","0.5069916844367981"
"28","434","context_pathway_projection","0.40550193190574646"
"28","518","context_pathway_projection","0.5404934883117676"
"28","524","context_pathway_projection","0.46877923607826233"
"28","528","context_pathway_projection","0.5288926362991333"
"28","625","context_pathway_projection","0.5173384547233582"
"28","631","context_pathway_projection","0.43503135442733765"
"28","653","context_pathway_projection","0.4759513735771179"
"28","668","context_pathway_projection","0.43924984335899353"
"29","199","context_pathway_projection","0.7695505619049072"
"29","284","context_pathway_projection","0.7538454532623291"
"29","285","context_pathway_projection","0.7695505619049072"
"29","286","context_pathway_projection","0.7695505619049072"
"29","289","context_pathway_projection","0.7870346903800964"
"29","484","context_pathway_projection","0.7600951194763184"
"29","625","context_pathway_projection","0.7852556705474854"
"29","967","context_pathway_projection","0.7732002139091492"
"29","968","context_pathway_projection","0.7600951194763184"
"29","969","context_pathway_projection","0.78630530834198"
"29","1011","context_pathway_projection","0.7600951194763184"
"29","1013","context_pathway_projection","0.7600951194763184"
"30","5","disease_pathway_prior","0.75"
"30","80","disease_pathway_prior","0.75"
"30","199","context_pathway_projection","0.5067753791809082"
"30","284","context_pathway_projection","0.4964330196380615"
"30","285","context_pathway_projection","0.5067753791809082"
"30","286","context_pathway_projection","0.5067753791809082"
"30","625","context_pathway_projection","0.5171177387237549"
"30","967","context_pathway_projection","0.48846960067749023"
"30","968","context_pathway_projection","0.4801904261112213"
"30","969","context_pathway_projection","0.49674874544143677"
"30","1011","context_pathway_projection","0.4801904261112213"
"30","1013","context_pathway_projection","0.4801904261112213"
"31","289","context_pathway_projection","0.3973444104194641"
"31","437","context_pathway_projection","0.3749588131904602"
"31","476","context_pathway_projection","0.3212333619594574"
"31","484","context_pathway_projection","0.4339955151081085"
"31","625","context_pathway_projection","0.32076993584632874"
"31","967","context_pathway_projection","0.4414782226085663"
"31","968","context_pathway_projection","0.4339955151081085"
"31","969","context_pathway_projection","0.44896090030670166"
"31","970","context_pathway_projection","0.40967682003974915"
"31","1011","context_pathway_projection","0.4339955151081085"
"31","1012","context_pathway_projection","0.40593546628952026"
"31","1013","context_pathway_projection","0.4339955151081085"
"32","199","context_pathway_projection","0.4871777892112732"
"32","284","context_pathway_projection","0.477235347032547"
"32","285","context_pathway_projection","0.4871777892112732"
"32","286","context_pathway_projection","0.4871777892112732"
"32","484","context_pathway_projection","0.47671911120414734"
"32","625","context_pathway_projection","0.4971201717853546"
"32","653","context_pathway_projection","0.45735055208206177"
"32","967","context_pathway_projection","0.4849384129047394"
"32","968","context_pathway_projection","0.47671911120414734"
"32","969","context_pathway_projection","0.4931577146053314"
"32","1011","context_pathway_projection","0.47671911120414734"
"32","1013","context_pathway_projection","0.47671911120414734"
"33","289","context_pathway_projection","0.35889217257499695"
"33","437","context_pathway_projection","0.3386729061603546"
"33","476","context_pathway_projection","0.2901466190814972"
"33","484","context_pathway_projection","0.44027066230773926"
"33","625","context_pathway_projection","0.2854906916618347"
"33","967","context_pathway_projection","0.44786155223846436"
"33","968","context_pathway_projection","0.44027066230773926"
"33","969","context_pathway_projection","0.45545241236686707"
"33","970","context_pathway_projection","0.41560032963752747"
"33","1011","context_pathway_projection","0.44027066230773926"
"33","1012","context_pathway_projection","0.4118048846721649"
"33","1013","context_pathway_projection","0.44027066230773926"
"34","199","context_pathway_projection","0.34489545226097107"
"34","285","context_pathway_projection","0.34489545226097107"
"34","286","context_pathway_projection","0.34489545226097107"
"34","484","context_pathway_projection","0.43399474024772644"
"34","625","context_pathway_projection","0.35193413496017456"
"34","967","context_pathway_projection","0.4414774477481842"
"34","968","context_pathway_projection","0.43399474024772644"
"34","969","context_pathway_projection","0.4489600956439972"
"34","970","context_pathway_projection","0.40967610478401184"
"34","1011","context_pathway_projection","0.43399474024772644"
"34","1012","context_pathway_projection","0.40593475103378296"
"34","1013","context_pathway_projection","0.43399474024772644"
"35","199","context_pathway_projection","0.4763171374797821"
"35","284","context_pathway_projection","0.4665963649749756"
"35","285","context_pathway_projection","0.4763171374797821"
"35","286","context_pathway_projection","0.4763171374797821"
"35","484","context_pathway_projection","0.473274290561676"
"35","625","context_pathway_projection","0.48603788018226624"
"35","653","context_pathway_projection","0.44715484976768494"
"35","967","context_pathway_projection","0.4814341962337494"
"35","968","context_pathway_projection","0.473274290561676"
"35","969","context_pathway_projection","0.48959410190582275"
"35","1011","context_pathway_projection","0.473274290561676"
"35","1013","context_pathway_projection","0.473274290561676"
"36","289","context_pathway_projection","0.3767935633659363"
"36","437","context_pathway_projection","0.35556575655937195"
"36","476","context_pathway_projection","0.3046190142631531"
