"drug_id","pathway_id","weight","evidence"
"7","926","1.0","pathway_prior_projection"
"7","929","1.0","pathway_prior_projection"
"7","930","1.0","pathway_prior_projection"
"7","931","1.0","pathway_prior_projection"
"7","932","1.0","pathway_prior_projection"
"7","933","1.0","pathway_prior_projection"
"7","934","1.0","pathway_prior_projection"
"7","936","1.0","pathway_prior_projection"
"7","947","1.0","pathway_prior_projection"
"7","950","1.0","pathway_prior_projection"
"7","952","1.0","pathway_prior_projection"
"7","954","1.0","pathway_prior_projection"
"7","955","1.0","pathway_prior_projection"
"7","956","1.0","pathway_prior_projection"
"7","957","1.0","pathway_prior_projection"
"7","962","1.0","pathway_prior_projection"
"7","964","1.0","pathway_prior_projection"
"7","965","1.0","pathway_prior_projection"
"7","966","1.0","pathway_prior_projection"
"7","971","1.0","pathway_prior_projection"
"7","972","1.0","pathway_prior_projection"
"7","976","1.0","pathway_prior_projection"
"7","983","1.0","pathway_prior_projection"
"7","985","1.0","pathway_prior_projection"
"7","1005","1.0","pathway_prior_projection"
"7","1008","1.0","pathway_prior_projection"
"7","1018","1.0","pathway_prior_projection"
"7","1040","1.0","pathway_prior_projection"
"7","1060","1.0","pathway_prior_projection"
"7","1090","1.0","pathway_prior_projection"
"7","1092","1.0","pathway_prior_projection"
"7","1096","1.0","pathway_prior_projection"
"7","1108","1.0","pathway_prior_projection"
"16","102","1.0","pathway_prior_projection"
"16","106","1.0","pathway_prior_projection"
"16","108","1.0","pathway_prior_projection"
"16","351","1.0","pathway_prior_projection"
"16","352","1.0","pathway_prior_projection"
"16","436","1.0","pathway_prior_projection"
"16","441","1.0","pathway_prior_projection"
"16","518","1.0","pathway_prior_projection"
"16","526","1.0","pathway_prior_projection"
"16","542","1.0","pathway_prior_projection"
"16","551","1.0","pathway_prior_projection"
"16","661","1.0","pathway_prior_projection"
"16","806","1.0","pathway_prior_projection"
"17","463","1.0","pathway_prior_projection"
"17","999","1.0","pathway_prior_projection"
"17","1024","1.0","pathway_prior_projection"
"17","1078","1.0","pathway_prior_projection"
"19","115","1.0","pathway_prior_projection"
"19","120","1.0","pathway_prior_projection"
"19","121","1.0","pathway_prior_projection"
"19","199","1.0","pathway_prior_projection"
"19","381","1.0","pathway_prior_projection"
"19","382","1.0","pathway_prior_projection"
"19","441","1.0","pathway_prior_projection"
"19","467","1.0","pathway_prior_projection"
"19","518","1.0","pathway_prior_projection"
"19","526","1.0","pathway_prior_projection"
"19","561","1.0","pathway_prior_projection"
"19","608","1.0","pathway_prior_projection"
"19","740","1.0","pathway_prior_projection"
"19","1018","1.0","pathway_prior_projection"
"19","1060","1.0","pathway_prior_projection"
"21","0","0.38552152670754497","pathway_prior_projection"
"21","1","0.42731252254320096","cisplatin_mechanism_bridge;pathway_prior_projection"
"21","2","0.16395055251336196","cisplatin_mechanism_bridge"
"21","3","0.45171656228481494","pathway_prior_projection"
"21","5","0.33517022166114696","cisplatin_mechanism_bridge;pathway_prior_projection"
"21","6","0.306531687543037","cisplatin_mechanism_bridge;pathway_prior_projection"
"21","7","0.6906744925730399","pathway_prior_projection"
"21","8","0.494245335606781","pathway_prior_projection"
"21","9","0.494245335606781","pathway_prior_projection"
"21","10","0.494245335606781","pathway_prior_projection"
"21","11","0.3641095845492999","pathway_prior_projection"
"21","12","0.5871889038266059","pathway_prior_projection"
"21","15","0.3412302849460603","pathway_prior_projection"
"21","16","0.3665770403646262","pathway_prior_projection"
"21","21","0.5483736105190675","pathway_prior_projection"
"21","26","0.46265206413745613","pathway_prior_projection"
"21","29","0.5871889038266059","pathway_prior_projection"
"21","32","0.494245335606781","pathway_prior_projection"
"21","33","0.494245335606781","pathway_prior_projection"
"21","36","0.35251008295897956","pathway_prior_projection"
"21","40","0.494245335606781","pathway_prior_projection"
"21","43","0.40710561694592917","pathway_prior_projection"
"21","44","0.4535528084729646","pathway_prior_projection"
"21","45","0.4129094665049021","pathway_prior_projection"
"21","46","0.41611469980653837","pathway_prior_projection"
"21","47","0.494245335606781","pathway_prior_projection"
"21","48","0.5323583740477206","pathway_prior_projection"
"21","49","0.5621208643473128","pathway_prior_projection"
"21","50","0.3736105190674493","pathway_prior_projection"
"21","51","0.3526740335114929","pathway_prior_projection"
"21","52","0.3526740335114929","pathway_prior_projection"
"21","53","0.9014493228842182","pathway_prior_projection"
"21","54","0.656466209791127","pathway_prior_projection"
"21","55","0.3665770403646262","pathway_prior_projection"
"21","56","0.463816113060301","pathway_prior_projection"
"21","58","0.3880381676886252","pathway_prior_projection"
"21","59","0.3650441026986261","pathway_prior_projection"
"21","60","0.5227522379250419","pathway_prior_projection"
"21","61","0.608895956979375","pathway_prior_projection"
"21","62","0.3340492507459751","pathway_prior_projection"
"21","63","0.494245335606781","pathway_prior_projection"
"21","64","0.470484801783782","pathway_prior_projection"
"21","65","0.448847427615831","pathway_prior_projection"
"21","66","0.463830458733646","pathway_prior_projection"
"21","67","0.6906744925730399","pathway_prior_projection"
"21","70","0.5943658392628782","pathway_prior_projection"
"21","72","0.3822015280191494","pathway_prior_projection"
"21","73","0.5194609305833361","pathway_prior_projection"
"21","75","0.49267141030265277","pathway_prior_projection"
"21","76","0.49108301877330274","pathway_prior_projection"
"21","79","0.5259570158084765","pathway_prior_projection"
"21","80","0.31330130832540903","cisplatin_mechanism_bridge;pathway_prior_projection"
"21","81","0.6063178345411024","pathway_prior_projection"
"21","82","0.4557071187329901","pathway_prior_projection"
"21","83","0.580270190510542","pathway_prior_projection"
"21","85","0.5194609305833361","pathway_prior_projection"
"21","86","0.48044397809620615","pathway_prior_projection"
"21","87","0.3523461324064662","pathway_prior_projection"
"21","89","0.4250800625198107","pathway_prior_projection"
"21","90","0.6296520969275666","pathway_prior_projection"
"21","92","0.4632329175235035","pathway_prior_projection"
"21","94","0.6889092916243128","pathway_prior_projection"
"21","95","0.5323583740477206","pathway_prior_projection"
"21","96","0.5323583740477206","pathway_prior_projection"
"21","97","0.4452651080434141","pathway_prior_projection"
"21","98","0.5123249827851919","pathway_prior_projection"
"21","99","0.4805677607633538","pathway_prior_projection"
"21","101","0.6222005443158345","pathway_prior_projection"
"21","102","0.48369019903597077","pathway_prior_projection"
"21","103","0.4452651080434141","pathway_prior_projection"
"21","104","0.4500811555234941","pathway_prior_projection"
"21","105","0.6222005443158345","pathway_prior_projection"
"21","106","0.4968275568088665","pathway_prior_projection"
"21","107","0.42463739602802464","pathway_prior_projection"
"21","108","0.4968275568088665","pathway_prior_projection"
"21","109","0.4898330163622651","pathway_prior_projection"
"21","110","0.8261058464767026","pathway_prior_projection"
"21","111","0.5524032808847709","pathway_prior_projection"
"21","112","0.4898330163622651","pathway_prior_projection"
"21","113","0.39528150309866544","pathway_prior_projection"
"21","114","0.4306194051873955","pathway_prior_projection"
"21","115","0.46714103026527193","pathway_prior_projection"
"21","116","0.35251008295897956","pathway_prior_projection"
"21","117","0.37933239335016555","pathway_prior_projection"
"21","118","0.3736105190674493","pathway_prior_projection"
"21","119","0.4869468035107278","pathway_prior_projection"
"21","120","0.464243874956404","pathway_prior_projection"
"21","121","0.45715206960247445","pathway_prior_projection"
"21","122","0.3665770403646262","pathway_prior_projection"
"21","124","0.494245335606781","pathway_prior_projection"
"21","125","0.3600682034298456","pathway_prior_projection"
"21","126","0.46935217671683555","pathway_prior_projection"
"21","127","0.43732170377414176","pathway_prior_projection"
"21","128","0.5249204839820311","pathway_prior_projection"
"21","129","0.6222005443158345","pathway_prior_projection"
