id,name,canonical_name,source_datasets,type
315,miR-181b,mir-181b,dataset1,ncrna
316,miR-181b-5p,mir-181b-5p,dataset1,ncrna
317,miR-181c,mir-181c,dataset1,ncrna
318,miR-181c-5p,mir-181c-5p,dataset1,ncrna
319,miR-181d,mir-181d,dataset1,ncrna
320,miR-182,mir-182,dataset1,ncrna
321,miR-182-5p,mir-182-5p,dataset1,ncrna
322,miR-183,mir-183,dataset1,ncrna
323,miR-183-5p,mir-183-5p,dataset1,ncrna
324,miR-184,mir-184,dataset1,ncrna
325,miR-185,mir-185,dataset1,ncrna
326,miR-185-3p,mir-185-3p,dataset1,ncrna
327,miR-185-5p,mir-185-5p,dataset1,ncrna
328,miR-186,mir-186,dataset1,ncrna
329,miR-187,mir-187,dataset1,ncrna
330,miR-187-5p,mir-187-5p,dataset1,ncrna
331,miR-188-3p,mir-188-3p,dataset1,ncrna
332,miR-18a,mir-18a,dataset1,ncrna
333,miR-18a-3p,mir-18a-3p,dataset1,ncrna
334,miR-18a-5p,mir-18a-5p,dataset1,ncrna
335,miR-18b,mir-18b,dataset1,ncrna
336,miR-191-5p,mir-191-5p,dataset1,ncrna
337,miR-1911,mir-1911,dataset1,ncrna
338,miR-1915,mir-1915,dataset1,ncrna
339,miR-192,mir-192,dataset1,ncrna
340,miR-192-5p,mir-192-5p,dataset1,ncrna
341,miR-193a,mir-193a,dataset1,ncrna
342,miR-193a-3p,mir-193a-3p,dataset1,ncrna
343,miR-193a-5p,mir-193a-5p,dataset1,ncrna
344,miR-193b,mir-193b,dataset1,ncrna
345,miR-193b-3p,mir-193b-3p,dataset1,ncrna
346,miR-194-5p,mir-194-5p,dataset1,ncrna
347,miR-195,mir-195,dataset1,ncrna
348,miR-195-5p,mir-195-5p,dataset1,ncrna
349,miR-196a-5p,mir-196a-5p,dataset1,ncrna
350,miR-196b,mir-196b,dataset1,ncrna
351,miR-196b-5p,mir-196b-5p,dataset1,ncrna
352,miR-197,mir-197,dataset1,ncrna
353,miR-197-3p,mir-197-3p,dataset1,ncrna
354,miR-198,mir-198,dataset1,ncrna
355,miR-199a-3p,mir-199a-3p,dataset1,ncrna
356,miR-199a-5p,mir-199a-5p,dataset1,ncrna
357,miR-199b,mir-199b,dataset1,ncrna
358,miR-199b-3p,mir-199b-3p,dataset1,ncrna
359,miR-199b-5p,mir-199b-5p,dataset1,ncrna
360,miR-19a-3p,mir-19a-3p,dataset1,ncrna
361,miR-19b-3p,mir-19b-3p,dataset1,ncrna
362,miR-200a,mir-200a,dataset1,ncrna
363,miR-200a-3p,mir-200a-3p,dataset1,ncrna
364,miR-200b,mir-200b,dataset1,ncrna
365,miR-200b-3p,mir-200b-3p,dataset1,ncrna
366,miR-200b-5p,mir-200b-5p,dataset1,ncrna
367,miR-200c,mir-200c,dataset1,ncrna
368,miR-200c-3p,mir-200c-3p,dataset1,ncrna
369,miR-202,mir-202,dataset1,ncrna
370,miR-203a,mir-203a,dataset1,ncrna
371,miR-203a-3p,mir-203a-3p,dataset1,ncrna
372,miR-204,mir-204,dataset1,ncrna
