id,name,canonical_name,source_datasets,type
104,Axitinib,axitinib,dataset2,drug
105,Apicidin,apicidin,dataset2,drug
106,Vorinostat,vorinostat,dataset2,drug
107,Palbociclib,palbociclib,dataset2,drug
108,Yuanhuadine,yuanhuadine,dataset2,drug
109,Ubenimex,ubenimex,dataset2,drug
110,Tretinoin,tretinoin,dataset2,drug
111,Tacalcitol,tacalcitol,dataset2,drug
112,Alpelisib,alpelisib,dataset2,drug
113,Ribociclib,ribociclib,dataset2,drug
114,Anastrozole,anastrozole,dataset2,drug
115,Exemestane,exemestane,dataset2,drug
116,Letrozole,letrozole,dataset2,drug
117,Decitabine,decitabine,dataset2,drug
118,Tanespimycin,tanespimycin,dataset2,drug
119,Estradiol,estradiol,dataset2,drug
120,Erastin,erastin,dataset2,drug
121,Epoxomicin,epoxomicin,dataset2,drug
122,Metformin,metformin,dataset2,drug
123,Ribavirin,ribavirin,dataset2,drug
124,Quercetin,quercetin,dataset2,drug
125,Pazopanib,pazopanib,dataset2,drug
126,Rhamnetin,rhamnetin,dataset2,drug
127,Methylprednisolone,methylprednisolone,dataset2,drug
128,Bufalin,bufalin,dataset2,drug
129,Schizandrin A,schizandrin a,dataset2,drug
130,Apitolisib,apitolisib,dataset2,drug
131,Selumetinib,selumetinib,dataset2,drug
132,Cortisone,cortisone,dataset2,drug
133,Onvansertib,onvansertib,dataset2,drug
134,Adalimumab,adalimumab,dataset2,drug
135,4-Acetylantroquinonol B,4-acetylantroquinonol b,dataset2,drug
136,Eribulin,eribulin,dataset2,drug
137,Su11274,su11274,dataset2,drug
138,Epothilone B,epothilone b,dataset2,drug
139,Tetrahydropalmatine,tetrahydropalmatine,dataset2,drug
140,Levothroid,levothroid,dataset2,drug
141,Dibenziodolium,dibenziodolium,dataset2,drug
142,Dovitinib,dovitinib,dataset2,drug
143,Raltitrexed,raltitrexed,dataset2,drug
144,Beta-Lapachone,beta-lapachone,dataset2,drug
145,Catalpol,catalpol,dataset2,drug
146,Stanolone,stanolone,dataset2,drug
147,Valproic Acid,valproic acid,dataset2,drug
148,Anlotinib,anlotinib,dataset2,drug
149,Ursolic acid,ursolic acid,dataset2,drug
